SupplierID,SupplierName,ContactName,Phone,Email
11,Harvest Provisions,Laura Knight,3145552010,l.knight@harvestpro.com
12,Sunrise Farms,Kevin White,5735552011,k.white@sunrisefarms.com
13,Riverbend Foods,Sarah Green,8165552012,s.green@riverbend.com
14,Golden Grain Co.,Tom Harris,4175552013,t.harris@goldengrain.com
15,Blue Valley Meats,Anna Scott,6605552014,a.scott@bluevalleymeats.com
16,Evergreen Dairy,Mike Lewis,3145552015,m.lewis@evergreendairy.com
17,Mountain Fresh Produce,Linda Clark,5735552016,l.clark@mountainfresh.com
18,Crystal Beverages,Jason Hill,8165552017,j.hill@crystalbev.com
19,Prime Packaging,Emily Young,4175552018,e.young@primepack.com
20,Central Grain Supply,Robert Adams,3145552019,r.adams@centralgrain.com
